"Permit.Number","Orig","Dest"
"60311U",5,2
"60319U",4,3
"60320L",6,4
"60322V",4,14
"60323N",2,4
"60324G",2,5
"60327M",3,9
"60328J",3,9
"60332Q",4,3
"60339N",4,2
"60341W",4,3
"60345S",2,3
"60346L",2,4
"60355J",1,14
"60364W",3,6
"60365O",3,6
"60369J",4,3
"60371N",5,3
"60372Z",2,1
"60376S",1,2
"60377W",2,6
"60381N",2,4
"60383X",4,2
"60389S",2,1
"60397K",2,1
"60398A",2,3
"60403B",3,8
"60409V",7,3
"60410U",6,3
"60413Z",9,3
"60414L",3,6
"60416L",1,2
"60420U",4,3
"60421M",4,5
"60425F",5,4
"60426W",5,3
"60428J",5,3
"60429B",5,3
"60430R",5,3
"60438H",4,14
"60439Z",4,3
"60458C",4,6
"60460G",2,3
"60461S",2,7
"60465N",6,7
"60471B",3,6
"60475V",4,6
"60479P",4,3
"60486H",2,6
"60490W",1,2
"60495Q",3,4
"60498L",1,2
"60502R",4,2
"60504C",5,2
"60507F",4,3
"60508H",2,6
"60511I",2,1
"60517C",2,6
"60519M",12,4
"60525Z",9,1
"60530B",3,11
"60533R",2,5
"60534N",1,2
"60551M",12,2
"60555X",6,1
"60560E",9,2
"60561F",2,1
"60566W",14,2
"60569W",2,5
"60573U",12,11
"60574M",4,3
"60576K",1,3
"60584A",2,3
"60585R",7,3
"60587H",2,7
"60592X",4,3
"60593P",4,2
"60599U",4,14
"60604J",3,2
"60606N",2,6
"60613L",8,7
"60615Z",3,6
"60616N",6,7
"60624Z",8,3
"60631R",7,2
"60635U",6,2
"60636X",9,2
"60638O",7,2
"60640C",7,8
"60641O",1,17
"60642C",1,2
"60649E",1,2
"60650U",5,14
"60656Z",3,5
"60663K",9,2
"60671Q",6,3
"60672J",4,6
"60677X",4,14
"60679C",7,2
"60680W",4,3
"60682H",2,6
"60683Z",4,6
"60689E",6,2
"60693J",2,1
"60694G",2,1
"60695H",6,2
"60702K",4,6
"60704U",2,3
"60705M",2,4
"60706F",3,8
"60710I",1,2
"60713A",4,6
"60714I",7,3
"60715C",2,6
"60716Q",2,5
"60717M",2,1
"60721X",1,8
"60726A",4,14
"60744G",3,2
"60760H",3,6
"60763F",7,2
"60781A",4,14
"60785U",3,6
"60789J",3,2
"60800S",2,1
"60803V",1,2
"60804X",7,2
"60812Q",3,4
"60814Z",4,2
"60818V",1,4
"60820F",3,6
"60821W",3,2
"60828S",4,3
"60829L",4,12
"60835O",3,2
"60837Z",3,8
"60838Q",4,2
"60839J",4,2
"60842K",4,8
"60848M",4,2
"60849H",3,9
"60859U",7,5
"60862A",6,3
"60868K",14,3
"60870S",4,3
"60871L",4,3
"60872E",6,8
"60875G",14,2
"60881E",3,14
"60887N",4,3
"60889X",3,4
"60899V",4,3
"60903J",3,1
"60907O",2,4
"60915W",7,3
"60917J",7,6
"60918F",4,3
"60919W",4,6
"60920N",1,8
"60926R",4,2
"60927K",4,3
"60933I",5,6
"60937I",4,3
"60939R",2,3
"60940E",7,3
"60945V",4,2
"60949K",14,3
"60950B",7,3
"60951S",7,3
"60952L",7,3
"60956A",5,2
"60959N",3,6
"60961W",4,6
"60963H",4,6
"60965O",3,2
"60971J",5,3
"60976V",5,3
"60982Z",5,2
"60992W",3,5
"60997R",3,2
"61000C",5,7
"61008W",6,3
"61023G",14,3
"61034V",3,6
"61035N",3,2
"61057S",10,3
"61058L",6,3
"61067Q",3,6
"61090N",3,2
"61091G",3,2
"61093P",3,1
"61098C",3,6
"61117L",3,2
"61123O",3,6
"61128F",4,12
"61129U",2,8
"61131G",12,2
"61132X",3,6
"61135A",6,3
"61142S",2,5
"61161V",3,6
"61162O",2,6
"61163G",5,3
"61164B",9,1
"61168S",5,3
"61169N",14,2
"61174L",1,2
"61176J",3,4
"61179N",6,3
"61181U",12,2
"61191P",3,5
"61192I",3,5
"61205M",6,3
"61213V",14,7
"61219K",4,3
"61222J",2,3
"61231Q",5,3
"61235G",3,6
"61236V",2,3
"61237N",2,8
"61238G",3,6
"61240O",6,14
"61246S",2,3
"61247L",8,3
"61248J",4,2
"61250M",8,2
"61251K",4,3
"61254O",2,14
"61264K",12,4
"61265C",4,2
"61275U",2,8
"61276M",8,3
"61277F",2,3
"61280N",3,6
"61281G",2,8
"61282X",2,4
"61283K",5,3
"61284C",5,3
"61293L",3,4
"61294E",8,2
"61295X",4,3
"61296N",3,2
"61302W",2,6
"61303O",14,4
"61306J",3,7
"61308O",9,3
"61312U",6,2
"61313M",12,6
"61317H",4,3
"61319Q",14,3
"61320I",4,14
"61328W",4,9
"61332R",2,3
"61333I",3,2
"61338U",3,2
"61344X",3,10
"61345P",3,2
"61352L",3,2
"61354M",2,5
"61355N",4,3
"61356G",3,2
"61360Z",4,2
"61364S",4,3
"61369I",3,2
"61374Q",4,3
"61380U",4,3
"61381M",4,3
"61385H",4,2
"61387Q",3,5
"61390R",4,2
"61391K",3,14
"61394M",3,8
"61397O",8,3
"61398H",6,1
"61401I",2,3
"61403X",6,3
"61405Z",2,5
"61409F",4,3
"61413P",2,1
"61414A",1,2
"61415A",2,1
"61417N",5,3
"61423P",7,3
"61425E",4,3
"61427N",3,2
"61432Z",4,11
"61433Q",3,4
"61434J",5,8
"61435B",3,6
"61445Z",3,4
"61447V",1,2
"61451C",3,6
"61452U",12,3
"61463I",14,3
"61464C",12,4
"61466L",7,3
"61467Z",3,16
"61468U",14,5
"61470W",1,5
"61473C",2,1
"61479M",3,4
"61485R",1,8
"61487R",2,7
"61493E",6,2
"61494P",2,1
"61495P",14,3
"61496I",4,6
"61498P",4,6
"61499K",3,2
"61501Q",3,8
"61504S",1,2
"61511W",4,6
"61516H",3,2
"61517Z",4,6
"61520R",3,7
"61523C",8,6
"61532I",2,1
"61535K",12,3
"61537R",5,6
"61540X",2,6
"61545F",6,3
"61546W",6,3
"61558F",3,2
"61562B",12,3
"61567F",2,1
"61571B",8,3
"61580M",6,14
"61581Z",5,3
"61584J",6,3
"61590W",1,2
"61591C",4,2
"61593O",4,6
"61594F",6,2
"61607M",4,1
"61608Z",7,3
