"Permit.Number","Orig","Dest"
"57726X",2,8
"57728V",4,12
"57734Z",2,6
"57736E",3,6
"57744S",7,3
"57745G",6,2
"57748Q",4,12
"57756Q",6,1
"57757S",7,3
"57758O",1,6
"57760O",6,5
"57763Q",5,2
"57769V",6,3
"57779A",6,5
"57781L",12,2
"57788K",4,3
"57803W",3,4
"57804L",3,7
"57809B",4,3
"57813O",1,2
"57817L",3,6
"57818B",1,2
"57820K",1,2
"57822A",1,6
"57823M",2,1
"57824F",1,8
"57825C",1,2
"57830F",2,1
"57834V",10,3
"57849F",1,2
"57851N",2,1
"57860J",3,8
"57864B",2,5
"57869I",2,6
"57872J",2,1
"57877B",4,7
"57878K",5,4
"57883F",4,3
"57885Q",4,3
"57886H",3,1
"57888I",5,2
"57891J",2,1
"57895Z",2,1
"57908F",9,2
"57910N",5,2
"57912C",1,3
"57914V",2,4
"57917O",2,1
"57920Z",6,2
"57934N",3,7
"57936B",4,3
"57938G",3,14
"57940H",2,1
"57943W",6,18
"57944L",3,14
"57945E",7,2
"57955P",10,3
"57956Q",2,16
"57957Q",4,3
"57958X",8,5
"57964H",3,7
"57966U",2,6
"57968F",4,6
"57970N",6,2
"57973M",6,7
"57978Z",6,7
"57985R",2,3
"57987F",3,6
"57993L",1,2
"57999B",3,1
"58000M",3,10
"58005R",10,3
"58010K",3,10
"58022H",3,6
"58024O",6,2
"58025H",2,6
"58028U",6,10
"58036Q",2,1
"58044W",7,2
"58045O",2,5
"58052X",12,4
"58064G",2,6
"58066R",5,6
"58067K",4,3
"58069K",3,6
"58075V",4,8
"58077F",5,14
"58078X",4,3
"58080H",3,1
"58091W",4,3
"58094Z",14,3
"58098S",6,2
"58100I",2,4
"58103F",2,1
"58105H",7,2
"58110G",4,2
"58116K",4,2
"58120V",7,3
"58122N",2,6
"58123W",1,2
"58126H",13,2
"58128O",2,14
"58142G",2,9
"58152R",3,2
"58159O",2,6
"58162L",10,3
"58166K",2,10
"58171Q",1,6
"58173I",10,6
"58175R",3,6
"58178G",13,3
"58183J",3,18
"58186W",4,3
"58192V",5,3
"58193H",5,6
"58196R",3,4
"58207N",15,8
"58209R",8,1
"58227I",9,3
"58229P",2,3
"58236L",7,2
"58247Q",6,1
"58251A",1,15
"58256F",3,1
"58259H",2,1
"58261X",6,4
"58263X",7,3
"58265K",2,1
"58267M",2,1
"58282J",2,6
"58283B",12,8
"58291J",8,3
"58292F",8,6
"58293W",8,6
"58298I",7,3
"58299E",2,7
"58300P",3,6
"58303Z",3,2
"58304Q",3,2
"58308N",13,3
"58310R",1,14
"58316C",6,2
"58317U",6,2
"58321L",5,6
"58322F",3,5
"58326W",9,3
"58327R",4,3
"58331L",1,2
"58341V",2,1
"58342B",6,2
"58343K",2,18
"58346V",4,2
"58364J",4,6
"58365Z",2,6
"58367E",1,6
"58369N",2,1
"58371W",1,18
"58374Z",5,3
"58378Z",8,2
"58379S",3,6
"58380C",2,3
"58381H",10,2
"58382R",2,11
"58385W",1,4
"58387F",8,6
"58389M",6,5
"58393I",6,2
"58394U",1,14
"58397W",6,3
"58398U",2,6
"58411V",3,7
"58412Q",4,3
"58419N",12,3
"58422L",3,14
"58428V",4,3
"58431U",2,12
"58442M",4,3
"58444W",4,3
"58453A",2,3
"58459B",7,10
"58465I",6,2
"58467R",4,12
"58472E",4,3
"58473V",4,3
"58478U",2,6
"58488C",6,3
"58493O",14,3
"58494L",4,3
"58497C",1,2
"58498A",2,3
"58515C",6,8
"58522X",2,5
"58529L",8,5
"58533N",4,6
"58535U",7,8
"58540J",12,2
"58544E",3,4
"58546F",2,1
"58549P",4,2
"58554V",2,1
"58555K",2,1
"58559N",2,3
"58560V",3,1
"58562Q",3,4
"58568K",1,2
"58569N",4,15
"58571Q",3,7
"58587S",3,14
"58604V",2,1
"58609A",2,7
"58611Q",3,6
"58613V",2,1
"58614S",4,2
"58615Z",2,3
"58616X",6,1
"58622B",8,1
"58623Z",2,6
"58628I",9,6
"58640R",4,1
"58648E",7,3
"58649Q",7,3
"58654F",1,2
"58658H",3,14
"58660K",2,7
"58661G",2,9
"58662X",10,4
"58665W",14,3
"58671U",3,18
"58674G",6,2
"58675X",12,2
"58680E",2,1
"58681X",3,7
"58682L",3,7
"58687A",8,1
"58692N",8,6
"58694B",2,6
"58703H",8,1
"58706J",6,1
"58707H",2,4
"58720G",4,3
"58726K",3,12
"58730B",2,5
"58738M",3,1
"58739K",6,2
"58742L",3,6
"58746C",3,6
"58750B",2,3
"58752J",4,6
"58753B",12,1
"58754S",3,2
"58755W",6,5
"58757V",3,4
"58761O",2,6
"58763S",3,6
"58765J",8,2
"58769G",3,6
"58771M",3,5
"58772V",2,8
"58773S",3,6
"58774L",3,6
"58775E",3,6
"58776V",3,6
"58777S",2,4
"58780E",3,10
"58792A",3,2
"58794K",4,1
"58795F",6,3
"58796U",2,18
"58798V",2,3
"58809W",3,18
"58810N",8,3
"58811J",1,6
"58825E",4,14
"58832W",6,2
"58833Q",14,3
"58835V",8,3
"58842R",6,2
"58853K",2,5
"58854S",5,3
"58859O",2,8
"58867C",5,1
"58875H",2,1
"58878U",4,3
"58879M",2,6
"58883B",6,5
"58892L",4,2
"58894P",7,6
"58895G",1,6
"58900N",1,2
"58910W",2,7
"58917S",2,7
"58925B",1,2
"58930V",1,4
"58938B",1,8
"58939S",2,5
"58940K",6,1
"58941I",1,3
"58942G",8,6
"58951B",3,8
"58954I",3,14
"58956P",8,3
"58958A",8,3
"58960Q",2,6
"58961J",4,2
"58963S",4,3
"58964L",4,2
"58967N",4,3
"58972N",18,1
"58974B",2,1
"58980B",6,1
"58985N",1,2
"58987S",2,1
"58991C",2,3
"59004J",3,14
"59011K",7,1
"59012I",3,8
"59017R",6,12
"59023R",7,5
"59024N",6,2
"59028F",7,3
"59037B",10,3
"59038G",1,3
"59041J",2,8
"59042B",3,2
"59044L",4,3
"59045E",2,3
"59046N",14,3
"59048U",2,1
"59050M",12,2
"59054B",3,2
"59056Q",3,2
"59059P",7,2
"59061W",2,1
"59064H",4,5
"59066B",1,2
"59067X",2,1
"59081U",7,14
"59088W",3,1
"59089O",6,3
"59090G",6,3
"59093I",4,3
"59099M",3,5
"59110B",3,7
"59113X",5,2
"59114V",1,9
"59118N",3,1
"59126E",7,3
"59127P",1,2
"59135M",4,2
"59136Z",8,3
"59141M",5,9
"59142U",1,2
"59143W",3,8
"59146Z",3,6
"59150N",6,9
"59152W",1,2
"59156W",7,14
"59159S",8,2
"59160N",1,6
"59163R",3,6
"59164B",10,3
"59167R",10,4
"59168F",2,7
"59169Q",5,6
"59171G",7,2
"59179U",9,7
"59185Z",2,5
"59186Q",14,5
"59188G",3,6
"59189S",14,5
"59192J",2,1
"59204K",12,4
"59212A",3,12
"59214Z",2,5
"59219O",6,16
"59222I",2,3
"59229R",6,14
"59232K",5,2
"59233I",14,3
"59238O",2,18
"59239P",4,3
"59240E",7,8
"59244B",2,3
"59246L",5,1
"59247X",8,1
"59264O",8,7
"59267Q",9,6
"59269G",7,3
"59283Q",2,1
"59285F",1,6
"59296S",5,18
"59297R",2,6
"59300B",3,2
"59302E",1,3
"59309G",8,1
"59313Z",3,6
"59314I",5,18
"59317S",3,5
"59324G",2,18
"59327C",3,10
"59333O",6,3
"59334M",3,2
"59335F",3,4
"59336Q",2,1
"59337M",5,6
"59339Z",2,8
"59348V",1,8
"59352O",1,6
"59355U",8,3
"59357M",4,3
"59365V",8,6
"59378L",10,3
"59379M",3,7
"59380E",6,7
"59399E",3,7
"59402P",5,3
"59410W",4,1
"59415P",5,2
"59419M",4,3
"59421R",3,18
"59434R",7,3
"59436I",3,4
"59438M",7,3
"59441N",2,7
"59452H",4,2
"59453Z",8,2
"59460O",3,6
"59468I",9,3
"59476O",3,7
"59482A",4,2
"59483R",6,8
"59485C",3,6
"59487H",2,3
"59490K",3,2
"59491C",3,18
"59493O",5,13
"59504X",2,1
"59507A",2,6
"59508C",9,3
"59511H",3,4
"59515V",3,1
"59516S",8,2
"59517Z",3,10
"59518X",2,1
"59519R",7,2
"59524X",10,5
"59526Q",8,2
"59533J",8,3
"59538Z",12,1
"59539S",2,8
"59543I",5,8
"59547B",8,9
"59549L",6,7
"59555R",2,4
"59556M",6,3
"59557F",14,18
"59560E",6,2
"59567A",4,2
"59570B",3,6
"59574X",1,4
"59575I",3,6
"59576G",12,5
"59579X",3,18
"59583V",2,1
"59589A",1,2
"59595E",1,6
"59602F",6,1
"59613M",1,2
"59616W",3,1
"59623X",2,4
"59627P",14,2
"59630S",4,2
"59632E",8,3
"59634P",2,6
"59638C",2,6
"59639W",9,3
"59640E",6,2
"59645E",15,3
"59646M",5,3
"59649U",7,3
"59651B",1,2
"59659R",3,2
"59671C",2,3
"59674L",10,14
"59683K",4,2
"59684Z",9,7
"59686M",3,6
"59691U",6,3
"59692M",6,3
"59693F",6,3
"59699E",5,8
"59703R",10,1
"59704O",3,2
"59707G",7,6
"59711Z",4,3
"59716N",8,3
"59717E",2,6
"59719N",2,6
"59721S",8,3
"59722L",2,8
"59728P",7,3
"59729E",7,3
"59730Z",7,3
"59740N",2,10
"59759B",7,3
"59763R",2,1
"59772V",6,3
"59779L",8,10
"59780X",10,2
"59781P",10,3
"59782M",10,1
"59785X",2,1
"59786R",7,3
"59793J",3,7
"59795S",7,6
"59796V",3,4
"59797N",4,6
"59812A",3,8
"59814M",3,6
"59818B",3,6
"59820F",1,2
"59826M",2,1
"59832X",6,8
"59834G",2,1
"59845R",3,2
"59849H",7,1
"59852S",3,4
"59855V",4,3
"59857G",2,4
"59861Z",4,3
"59862Q",3,4
"59864B",4,3
"59866L",6,2
"59867E",4,1
"59868F",3,10
"59870P",10,3
"59871O",2,1
"59874W",4,1
"59875Q",4,6
"59879L",4,2
"59885O",4,6
"59886H",8,2
"59887Z",3,6
"59889J",6,3
"59892K",4,3
"59893C",4,7
"59896F",4,14
"59898O",4,14
"59902N",4,2
"59903G",4,3
"59911S",3,6
"59913E",2,6
"59914V",3,4
"59917X",10,6
"59922J",3,2
"59923B",4,1
"59925L",3,6
"59927V",2,4
"59929G",6,2
"59933Z",4,3
"59936B",6,3
"59937S",3,4
"59939E",3,6
"59942F",4,8
"59947Q",4,3
"59954M",3,4
"59960P",2,6
"59964K",3,6
"59966U",4,3
"59967M",2,6
"59968F",6,3
"59969W",2,3
"59970N",6,3
"59971G",14,4
"59972X",3,14
"59974I",14,3
"59983Z",10,2
"59997P",2,8
"59998V",1,8
"59999N",6,2
"60009Q",5,8
"60014H",3,2
"60015Z",12,8
"60017J",6,3
"60022U",4,3
"60023M",4,3
"60025W",6,2
"60026O",4,3
"60028Z",6,4
"60030I",3,6
"60034C",8,2
"60036M",2,6
"60038W",2,3
"60040G",4,6
"60043I",3,8
"60049I",5,2
"60052L",2,3
"60055A",7,3
"60061C",8,10
"60063I",6,3
"60064N",3,8
"60075J",8,2
"60078E",9,2
"60084Q",6,3
"60087S",6,3
"60090U",4,2
"60093W",3,6
"60095H",14,2
"60098E",7,3
"60105F",7,3
"60106Z",2,3
"60107O",3,2
"60108B",1,6
"60109C",2,6
"60111L",4,2
"60114M",2,13
"60116O",2,6
"60118V",3,10
"60119W",7,3
"60122X",3,2
"60123P",8,3
"60130Q",3,6
"60131E",6,3
"60135B",3,6
"60136S",10,4
"60146N",3,2
"60148S",3,9
"60149L",8,7
"60160Z",5,3
"60164C",3,6
"60165Q",3,6
"60166J",2,7
"60171R",2,8
"60174A",6,10
"60178I",2,10
"60184X",2,6
"60186K",5,2
"60188U",4,3
"60190X",7,3
"60192G",1,6
"60193G",14,8
"60194R",7,6
"60195G",7,2
"60197A",6,3
"60205F",10,2
"60206A",2,6
"60216Z",7,3
"60217Q",7,3
"60222K",2,6
"60226B",3,6
"60230O",6,14
"60232I",6,3
"60233Q",3,5
"60236F",16,3
"60237U",3,2
"60242I",4,2
"60251E",9,2
"60255F",7,3
"60258H",7,6
"60259Z",3,1
"60261I",3,6
"60265U",1,6
"60269X",6,2
"60272W",3,6
"60278P",2,5
"60283J",6,1
"60285Z",2,3
"60286Q",3,6
"60287L",6,1
"60289V",2,5
"60294V",1,2
"60297H",6,8
"60308C",2,6
"60310N",6,8
"60318C",4,12
"60319U",3,2
"60320L",12,4
"60330H",2,5
"60331O",3,18
"60332Q",2,14
"60336G",3,2
"60337E",6,2
"60339N",2,3
"60340H",8,3
"60341W",3,7
"60347V",2,1
"60348V",5,14
"60352M",3,2
"60353F",4,3
"60358L",1,8
"60363F",3,4
"60371N",5,6
"60375F",9,3
"60376S",2,4
"60382I",12,18
"60386U",2,3
"60391G",3,6
"60393V",6,2
"60397K",3,1
"60399R",3,8
"60403B",8,3
"60414L",8,6
"60420U",3,6
"60422W",2,3
"60426W",6,2
"60427Q",3,4
"60428J",8,2
"60429B",6,2
"60434M",3,2
"60438H",3,10
"60445S",3,5
"60446L",5,3
"60449N",5,6
"60452O",5,6
"60456R",4,3
"60464X",1,6
"60467A",2,3
"60468A",2,8
"60469R",4,2
"60473L",2,4
"60480H",4,3
"60483B",6,8
"60489L",12,1
"60490W",1,6
"60491W",3,2
"60492H",1,2
"60494Z",4,10
"60495Q",4,3
"60497S",3,2
"60500I",3,8
"60502R",3,4
"60507F",3,8
"60508H",6,1
"60510Q",10,1
"60511I",1,2
"60513C",9,3
"60516K",14,2
"60517C",6,18
"60524R",2,3
"60530B",14,1
"60531E",8,2
"60546B",3,2
"60547S",3,4
"60560E",2,6
"60566W",1,2
"60567J",3,1
"60573U",2,3
"60579E",10,1
"60580B",10,3
"60581X",7,6
"60583P",6,2
"60584A",3,2
"60585R",3,7
"60586R",3,6
"60587H",7,3
"60596M",3,2
"60604J",2,8
"60608G",4,13
"60614G",13,3
"60617J",2,3
"60631R",2,7
"60632M",1,2
"60633B",2,1
"60635U",4,5
"60642C",2,3
"60645J",2,18
"60649E",2,1
"60650U",3,6
"60658M",1,2
"60660E",3,4
"60664N",2,3
"60666W",2,1
"60667O",1,2
"60669I",12,6
"60672J",6,2
"60677X",3,6
"60683Z",6,2
"60687N",2,3
"60689E",2,6
"60693J",1,16
"60696P",5,3
"60698L",2,3
"60702K",3,2
"60703C",4,3
"60711P",5,2
"60714I",6,2
"60726A",14,3
"60728F",3,6
"60765Z",3,4
"60771W",1,3
"60773H",3,14
"60775Q",3,6
"60777B",3,6
"60781A",3,2
"60785U",3,4
"60794U",3,6
"60799C",3,2
"60801P",1,6
"60804X",6,3
"60806I",3,2
"60810H",2,3
"60811W",6,2
"60815S",3,2
"60816B",8,7
"60817E",8,3
"60821W",2,3
"60825J",1,3
"60828S",3,2
"60829L",3,6
"60835O",2,3
"60837Z",8,3
"60838Q",3,2
"60843A",4,3
"60845M",6,4
"60848M",2,1
"60849H",3,4
"60854R",4,3
"60865C",3,6
"60870S",6,3
"60875G",4,1
"60880L",8,3
"60882V",2,3
"60884J",6,3
"60885E",4,3
"60887N",3,2
"60889X",4,6
"60898E",3,2
"60907O",4,18
"60914K",4,13
"60919W",6,2
"60920N",6,8
"60923K",3,6
"60926R",6,8
"60929M",2,1
"60934G",6,4
"60945V",2,3
"60950B",3,7
"60951S",3,7
"60955N",9,7
"60958V",4,3
"60959N",6,2
"60961W",6,5
"60962O",6,2
"60963H",6,3
"60968I",5,6
"60971J",3,6
"60990M",5,6
"60995I",3,6
"60999S",2,6
"61002M",5,2
"61005U",3,6
"61007F",6,3
"61014A",8,3
"61018U",6,3
"61019M",3,7
"61022N",3,6
"61027A",3,2
"61030B",3,18
