"Permit.Number","Orig","Dest"
"98930Q",1,18
"98931J",18,18
"98932B",18,18
"98933S",18,18
"98934L",18,18
"98935E",18,18
"98937N",18,18
"98938G",18,18
"98939X",18,18
"98940O",18,18
"98941H",18,18
"98942Z",18,18
"98943Q",18,18
"98944J",18,18
"98945B",18,18
"98946S",18,18
"98948E",1,18
"98949V",2,18
"98950M",18,18
"98951F",18,18
"98952W",18,18
"98953O",18,18
"98954H",18,18
"98955Z",18,18
"98956Q",18,18
"98957J",18,18
"98958B",18,18
"98960K",2,18
"98963M",18,18
"98964F",18,18
"98965W",2,18
"98966O",18,18
"98967H",18,18
"98969Q",18,18
"98970I",18,18
"98971A",18,18
"98972R",18,18
"98973K",18,18
"98974C",18,18
"98975U",18,18
"98976M",18,18
"98977F",1,18
"98978W",18,18
"98980G",18,18
"98981X",18,18
"98982P",18,18
"98983I",18,18
"98985R",18,18
"98986K",18,18
"98987C",18,18
"98988U",18,18
"98989M",18,18
"98990E",18,18
"98991V",18,18
"98993G",18,18
"98994X",18,18
"98995P",18,18
"98997A",18,18
"98998R",1,18
"99000S",18,18
"99001L",18,18
"99002E",18,18
"99003V",18,18
"99004N",18,18
"99006X",18,18
"99008I",18,18
"99010Q",18,18
"99011J",18,18
"99012B",18,18
"99013S",18,3
"99014L",18,18
"99015E",18,18
"99016V",18,18
"99017N",18,18
"99018G",18,18
"99019X",18,18
"99020O",18,18
"99021H",18,18
"99023Q",18,18
"99024J",18,18
"99025B",18,18
"99026S",2,18
"99027L",18,18
"99028E",18,18
"99029V",18,18
"99030M",18,18
"99031F",18,18
"99032W",18,18
"99033O",18,18
"99035Z",1,18
"99036Q",18,18
"99037J",18,18
"99038B",18,18
"99040K",18,18
"99041C",18,18
"99042U",18,18
"99043M",18,18
"99044F",18,18
"99045W",18,18
"99046O",1,18
"99047H",18,18
"99048Z",1,18
"99049Q",18,18
"99050I",18,18
"99053K",18,18
"99054C",18,18
"99056M",18,18
"99057F",18,18
"99059O",18,18
"99060G",18,18
"99062P",18,18
"99063I",18,18
"99064A",18,18
"99065R",18,18
